I am  feeling good Today is my Lucky day.,1
"I am happy, but not sop much 50-50",1
"Today is my neutral day",1
count positive feedback,1
This product is good and easy to use.,1
"I am happy
",1
I am happy,1
I am happy,1
I am happy,1
I am happy,1
this product is good I think so it will use what beneficial,1
Hey I am so happy and today i received promotion letter i would be a next ceo of the company,1
Hey I am so happy and today i received promotion letter i would be a next ceo of the company,1
Hey I am so happy and today i received promotion letter i would be a next ceo of the company,1
"This software is good, and work so fast smoothly.",1
"This software is good, and work so fast smoothly.",1

This is not a good software.,1
"This software is not good
",1
"I am not happy
",1
I am not happy,1
I am not happy,1
